"journal_name","journal_abbrev","publisher","note","issn","wos_subj_cat_1","wos_subj_cat_2","wos_subj_cat_3","wos_subj_cat_4","wos_subj_cat_all"
"AIS Transactions on Replication Research","TRR","Elsevier",,"2473-3458","(not found)",,,,"(not found)"
"Addiction Research & Theory","ADDICT RES THEORY","Taylor & Francis",,"1606-6359","Substance Abuse "," Social Issues",,,"Substance Abuse | Social Issues"
"Advances in Methods and Practices in Psychological Science","AMPPS","SAGE",,"2515-2459","Psychology",,,,"Psychology"
"American Journal of Orthopsychiatry","AM J ORTHOPSYCHIAT","APA",,"0002-9432","Social Work",,,,"Social Work"
"American Journal of Political Science","AM J POLIT SCI","Wiley",,"0092-5853","Political Science",,,,"Political Science"
"American Journal of Primatology","AM J PRIMATOL","Wiley",,"0275-2565","Zoology",,,,"Zoology"
"Analyses of Social Issues and Public Policy (ASAP)","ASAP","Wiley",,"1529-7489","Social Issues "," Psychology, Social",,,"Social Issues | Psychology, Social"
"Annual Review of Applied Linguistics","ANNU REV APPL LINGUI","Cambridge University Press",,"0267-1905","Linguistics",,,,"Linguistics"
"Archive for the Psychology of Religion","ARCH PSYCHOL RELIG","SAGE",,"0084-6724","Psychology, Multidisciplinary",,,,"Psychology, Multidisciplinary"
"Archives of Scientific Psychology","ARCH SCI PSYCHOL","APA","No longer published","2169-3269","(not found)",,,,"(not found)"
"Asian American Journal of Psychology","ASIAN AM J PSYCHOL","APA",,"1948-1985","Ethnic Studies "," Psychology, Multidisciplinary",,,"Ethnic Studies | Psychology, Multidisciplinary"
"BMJ Open Science","BMJ OPEN SCI","BMJ","No longer published",,"(not found)",,,,"(not found)"
"Brain and Neuroscience Advances","BRAIN NEUROSCI ADV","SAGE",,"2398-2128","(not found)",,,,"(not found)"
"Canadian Journal of Experimental Psychology (CJEP)","CJEP","APA",,"1196-1961","Psychology, Experimental",,,,"Psychology, Experimental"
"Clinical Psychological Science","CLIN PSYCHOL SCI","APS",,"2167-7026","Psychology "," Psychiatry",,,"Psychology | Psychiatry"
"Cognitive Science","COGNITIVE SCI","Wiley",,"1551-6709","Psychology, Experimental",,,,"Psychology, Experimental"
"Communication Research Reports","COMMUN RES REP","Taylor & Francis",,"0882-4096","Communication",,,,"Communication"
"Communication Studies","COMMUN STUD","Taylor & Francis",,"1051-0974","Communication",,,,"Communication"
"Cortex","CORTEX","Elsevier",,"0010-9452","Neurosciences "," Behavioral Sciences",,,"Neurosciences | Behavioral Sciences"
