rowid,Key,Item Type,Publication Year,Author,Title,Publication Title,ISBN,ISSN,DOI,Url,Abstract Note,Date,Date Added,Date Modified,Access Date,Pages,Num Pages,Issue,Volume,Number Of Volumes,Journal Abbreviation,Short Title,Series,Series Number,Series Text,Series Title,Publisher,Place,Language,Rights,Type,Archive,Archive Location,Library Catalog,Call Number,Extra,Notes,File Attachments,Link Attachments,manual_tags1,manual_tags2,manual_tags3,manual_tags4,manual_tags5,manual_tags6,manual_tags7,manual_tags8,manual_tags9,manual_tags10,Automatic Tags,Editor,Series Editor,Translator,Contributor,Attorney Agent,Book Author,Cast Member,Commenter,Composer,Cosponsor,Counsel,Interviewer,Producer,Recipient,Reviewed Author,Scriptwriter,Words By,Guest,Number,Edition,Running Time,Scale,Medium,Artwork Size,Filing Date,Application Number,Assignee,Issuing Authority,Country,Meeting Name,Conference Name,Court,References,Reporter,Legal Status,Priority Numbers,Programming Language,Version,System,Code,Code Number,Section,Session,Committee,History,Legislative Body,OpenDataBadge,OpenMaterialsBadge,PreregisteredBadge,ErratumTag,effective_year,PROpenData,PRPreregistered,PROpenMaterials,DEPreregistered,TCPreregistered,PreregisteredPlus,study_id
1,22YZTHRK,journalArticle,2019,"Patihis, Lawrence; Cruz, Cristobal S.; Herrera, Mario E.",Changing Current Appraisals of Mothers Leads to Changes in Childhood Memories of Love Toward Mothers,Clinical Psychological Science,NA,2167-7026,10.1177/2167702619842468,https://doi.org/10.1177/2167702619842468,"False memories in therapy have previously been identified as problematic, but memory-of-emotion distortions have been underdiscussed in this context. Past research has suggested that cognitive reappraisals are associated with changes in memory of emotions. We investigated whether these findings would generalize to an important emotion (love), target (mothers), and time (childhood). In samples of adults, we manipulated current appraisals of mothers to examine the effect on memory of love felt in childhood toward mothers. In Experiment 1, we found significant differences between appraisal conditions on memory of love—effects that persisted for 4 weeks. In Experiment 2, the effect of reappraisal on memory of love replicated with a pretest–posttest experiment. Pretest current feelings of love were biased when recalled after the experiment. Reevaluating parents, in therapy or elsewhere, may result in memory distortion of important aspects of autobiographical memory.",2019-09-01,2020-01-30T05:29:22Z,2020-01-30T05:29:35Z,2020-01-30T05:29:22Z,1125-1143,NA,5,7,NA,Clinical Psychological Science,NA,NA,NA,NA,NA,NA,NA,en,NA,NA,NA,NA,SAGE Journals,NA,NA,NA,C:\Users\Steve\Zotero\storage\S9S72PWS\Patihis et al. - 2019 - Changing Current Appraisals of Mothers Leads to Ch.pdf,NA,OSBadgeOpenData,OSBadgeOpenMaterials,NA,NA,NA,NA,NA,NA,NA,NA,emotion; memory; open data; open materials; autobiographical memory; appraisal; love; mother,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,FALSE,FALSE,2019,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,a000001
2,23ERBNJZ,journalArticle,2015,"Dai, Hengchen; Milkman, Katherine L.; Riis, Jason",Put Your Imperfections Behind You: Temporal Landmarks Spur Goal Initiation When They Signal New Beginnings,Psychological Science,NA,0956-7976,10.1177/0956797615605818,https://doi.org/10.1177/0956797615605818,"People often fail to muster the motivation needed to initiate goal pursuit. Across five laboratory experiments, we explored occasions when people naturally experience enhanced motivation to take actions that facilitate goal pursuit and why certain dates are more likely to spur goal initiation than others. We present causal evidence that emphasizing a temporal landmark denoting the beginning of a new time period increases people’s intentions to initiate goal pursuit. In addition, we propose and show that people’s strengthened motivation to begin pursuing their aspirations following such temporal landmarks originates in part from the psychological disassociation these landmarks induce from a person’s past, imperfect self.",2015-12-01,2018-03-20T01:55:39Z,2018-03-20T01:55:53Z,2018-03-20T01:55:39Z,1927-1936,NA,12,26,NA,Psychol Sci,Put Your Imperfections Behind You,NA,NA,NA,NA,NA,NA,en,NA,NA,NA,NA,SAGE Journals,NA,NA,NA,C:\Users\Steve\Zotero\storage\UJ3JEMIU\Dai et al. - 2015 - Put Your Imperfections Behind You Temporal Landma.pdf,NA,OSBadgeOpenMaterials,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,FALSE,FALSE,2015,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,a000002
3,23TU4I88,journalArticle,2019,"Connor, Paul; Sarafidis, Vasilis; Zyphur, Michael J; Keltner, Dacher; Chen, Serena",Income Inequality and White-on-Black Racial Bias in the United States: Evidence From Project Implicit and Google Trends,Psychological Science,NA,0956-7976,10.1177/0956797618815441,https://journals.sagepub.com/doi/10.1177/0956797618815441,"Several theories predict that income inequality may produce increased racial bias, but robust tests of this hypothesis are lacking. We examined this relationship at the U.S. state level from 2004 to 2015 using Internal Revenue Service–based income-inequality statistics and two large-scale racial-bias data sources: Project Implicit (N = 1,554,109) and Google Trends. Using a multimethod approach, we found evidence of a significant positive within-state association between income inequality and Whites’ explicit racial bias. However, the effect was small, with income inequality accounting for 0.4% to 0.7% of within-state variation in racial bias, and was also contingent on model specification, with results dependent on the measure of income inequality used. We found no conclusive evidence linking income inequality to implicit racial bias or racially offensive Google searches. Overall, our findings admit multiple interpretations, but we discuss why statistically small effects of income inequality on explicit racial bias may nonetheless be socially meaningful.",2019-02-01,2019-04-06T18:49:08Z,2020-02-11T05:25:53Z,NA,205-222,NA,2,30,NA,Psychol. Sci.,NA,NA,NA,NA,NA,NA,NA,en,NA,NA,NA,NA,Zotero,NA,PMID: 30633654,NA,C:\Users\Steve\Zotero\storage\TYQPT9RI\Connor e.a. - Income Inequality and White-on-Black Racial Bias i.pdf,NA,OSBadgeOpenData,OSBadgeOpenMaterials,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,FALSE,FALSE,2019,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,a000003
4,249AUDEP,journalArticle,2017,"Stark, Emily; Baldwin, Austin S.; Hertel, Andrew W.; Rothman, Alexander J.",The role of rational and experiential processing in influencing the framing effect,The Journal of Social Psychology,NA,0022-4545,10.1080/00224545.2016.1198301,https://doi.org/10.1080/00224545.2016.1198301,"Research on individual differences and the framing effect has focused primarily on how variability in rational processing influences choice. However, we propose that measuring only rational processing presents an incomplete picture of how participants are responding to framed options, as orthogonal individual differences in experiential processing might be relevant. In two studies, we utilize the Rational Experiential Inventory, which captures individual differences in rational and experiential processing, to investigate how both processing types influence decisions. Our results show that differences in experiential processing, but not rational processing, moderated the effect of frame on choice. We suggest that future research should more closely examine the influence of experiential processing on making decisions, to gain a broader understanding of the conditions that contribute to the framing effect.",2017-05-04,2018-04-05T05:20:15Z,2018-04-05T05:20:38Z,2018-04-05T05:20:15Z,308-321,NA,3,157,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Taylor and Francis+NEJM,NA,PMID: 27269813,NA,C:\Users\Steve\Zotero\storage\YCNNHDAE\Stark et al. - 2017 - The role of rational and experiential processing i.pdf; C:\Users\Steve\Zotero\storage\SX8L427X\00224545.2016.html,NA,OSBadgeOpenData,OSBadgeOpenMaterials,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,FALSE,FALSE,2017,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,a000004
5,24HX94R4,journalArticle,2019,"Rychlowska, Magdalena; van der Schalk, Job; Gratch, Jonathan; Breitinger, Eva; Manstead, Antony S. R.",Beyond actions: Reparatory effects of regret in intergroup trust games,Journal of Experimental Social Psychology,NA,0022-1031,10.1016/j.jesp.2019.01.006,http://www.sciencedirect.com/science/article/pii/S0022103118303974,"Intergroup trust is vital for cooperation and societal well-being, but is harder to establish than interpersonal trust. We investigate whether expressions of negative emotions, in particular regret, following economic decisions can shape intergroup trust. In each of three studies participants were members of a group playing a two-round trust game with another group. In the first round, they observed an outgroup member who acted fairly or unfairly towards the ingroup and then expressed positive (i.e., happiness) or negative (i.e., regret, unhappiness) emotions about this behavior. In the second round, participants played with another outgroup member. Emotions displayed by the outgroup representative following unfair behavior in round 1 influenced participants' allocations in round 2, which were higher following regret and unhappiness than following positive emotions. Thus, emotions expressed by one outgroup member affected interactions with other members who had not communicated emotions. Findings of Study 3 revealed that these effects were driven by regret increasing intergroup trust, rather than by happiness decreasing it. Moreover, participants' allocations were predicted by their perceptions of the extent to which the outgroup representative wished to change her behavior. Together, the findings reveal that regret expressions influence intergroup trust by attenuating the detrimental effects of unfair behavior.",2019-05-01,2020-02-04T03:34:20Z,2020-02-04T03:34:37Z,2020-02-04T03:34:20Z,74-84,NA,NA,82,NA,Journal of Experimental Social Psychology,Beyond actions,NA,NA,NA,NA,NA,NA,en,NA,NA,NA,NA,ScienceDirect,NA,NA,NA,C:\Users\Steve\Zotero\storage\SUBLEXZY\Rychlowska et al. - 2019 - Beyond actions Reparatory effects of regret in in.pdf; C:\Users\Steve\Zotero\storage\GF4WILKA\S0022103118303974.html,NA,OSBadgeOpenData,OSBadgeOpenMaterials,NA,NA,NA,NA,NA,NA,NA,NA,Emotion expression; Intergroup trust; Regret; Smile,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,FALSE,FALSE,2019,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,a000005
6,24NS7HQI,journalArticle,2018,"Menger, Andrew; Stein, Robert M.",Enlisting the Public in Facilitating Election Administration: A Field Experiment,Public Administration Review,NA,0033-3352,10.1111/puar.12833,https://onlinelibrary.wiley.com/doi/10.1111/puar.12833,"Abstract The proliferation of election reforms poses a challenge for local election officials (LEOs) charged with conducting elections. To meet this challenge, LEOs attempt to communicate, inform, and persuade voters how to cast their ballots in a manner that is efficient and effective for both the voter and the administrator. This article examines the effects of efforts by LEOs to persuade voters to return mailed ballots before Election Day and in person in order to facilitate the efficient administration of vote-by-mail elections in Colorado. Field experiments testing the efficacy of alternative messages find that many messages have no effect on the timing or method of ballot return. Messaging that focuses on LEOs' responsiveness to voters' demands is most effective at steering voters to return their mailed ballots in person but results in later ballot returns.",2018-11-01,2019-04-08T11:57:11Z,2019-04-08T12:04:21Z,2019-04-08T11:57:11Z,892-903,NA,6,78,NA,Public Administration Review,Enlisting the Public in Facilitating Election Administration,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,onlinelibrary.wiley.com (Atypon),NA,NA,NA,C:\Users\Steve\Zotero\storage\A9GY5UVB\Menger and Stein - 2018 - Enlisting the Public in Facilitating Election Admi.pdf; C:\Users\Steve\Zotero\storage\GAJI9NTU\puar.html,NA,OSBadgePreregistered,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,TRUE,FALSE,2018,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,a000006
7,25KTJPTG,journalArticle,2017,Olderbak Sally G.; Malter Frederic; Wolf Pedro Sofio Abril; Jones Daniel N.; Figueredo Aurelio José,Predicting Romantic Interest at Zero Acquaintance: Evidence of Sex Differences in Trait Perception but Not in Predictors of Interest,European Journal of Personality,NA,0890-2070,10.1002/per.2087,https://onlinelibrary-wiley-com.ezp.lib.unimelb.edu.au/doi/abs/10.1002/per.2087,"Abstract We evaluated five competing hypotheses about what predicts romantic interest. Through a half?block quasi?experimental design, a large sample of young adults (i.e. responders; n?=?335) viewed videos of opposite?sex persons (i.e. targets) talking about themselves, and responders rated the targets' traits and their romantic interest in the target. We tested whether similarity, dissimilarity or overall trait levels on mate value, physical attractiveness, life history strategy and the Big Five personality factors predicted romantic interest at zero acquaintance and whether sex acted as a moderator. We tested the responders' individual perception of the targets' traits, in addition to the targets' own self?reported trait levels and a consensus rating of the targets made by the responders. We used polynomial regression with response surface analysis within multilevel modelling to test support for each of the hypotheses. Results suggest a large sex difference in trait perception; when women rated men, they agreed in their perception more often than when men rated women. However, as a predictor of romantic interest, there were no sex differences. Only the responders' perception of the targets' physical attractiveness predicted romantic interest; specifically, responders' who rated the targets' physical attractiveness as higher than themselves reported more romantic interest. Copyright ? 2017 European Association of Personality Psychology",2017-01-06,2018-04-04T05:58:58Z,2018-04-04T05:59:10Z,2018-04-04T05:58:58Z,42-62,NA,1,31,NA,European Journal of Personality,Predicting Romantic Interest at Zero Acquaintance,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,onlinelibrary-wiley-com.ezp.lib.unimelb.edu.au (Atypon),NA,NA,NA,C:\Users\Steve\Zotero\storage\TZZQWCD9\Olderbak Sally G. et al. - 2017 - Predicting Romantic Interest at Zero Acquaintance.pdf; C:\Users\Steve\Zotero\storage\3699S7YE\per.html,NA,OSBadgeOpenData,NA,NA,NA,NA,NA,NA,NA,NA,NA,attraction; Big Five personality factors; life history strategy; mate value; multilevel model; polynomial regression; response surface analysis; social relations model; trait perception,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,2017,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,a000007
8,27D6EVMZ,journalArticle,2019,"Flade, Felicitas; Klar, Yechiel; Imhoff, Roland",Unite against: A common threat invokes spontaneous decategorization between social categories,Journal of Experimental Social Psychology,NA,0022-1031,10.1016/j.jesp.2019.103890,http://www.sciencedirect.com/science/article/pii/S0022103119301866,"A frequent rhetoric in the political arena calls members of larger groups like nations to lay aside all dividing differences and unite in face of a common threat. In the present research we sought to test whether such a unifying effect of external threat already manifests in such basic cognitive processes as automatic categorization even for such strong schisms as the ones between black and white Americans or Israeli Jews and Arabs. In Studies 1 & 2 (N = 183/144, USA), we established the decategorization effect in the context of black and white US Americans. In Study 3, we showed the effect again in a German lab for the gender category (N = 101). In Study 4 (N = 168, Israel), we transferred the effect to the context of the Israeli-Palestinian conflict and teased apart the separate effects of intergroup threat, common goal and common threat, and category membership of participants. In summary, a “common enemy” leads to the decategorization of social groups already at an early automatic stage.",2019-11-01,2020-02-06T02:01:03Z,2020-02-10T04:00:08Z,2020-02-06T02:01:03Z,103890,NA,NA,85,NA,Journal of Experimental Social Psychology,Unite against,NA,NA,NA,NA,NA,NA,en,NA,NA,NA,NA,ScienceDirect,NA,NA,NA,C:\Users\Steve\Zotero\storage\FSR3EXF2\Flade et al. - 2019 - Unite against A common threat invokes spontaneous.pdf; C:\Users\Steve\Zotero\storage\SPQFNJ7L\S0022103119301866.html,NA,OSBadgePreregistered,NA,NA,NA,NA,NA,NA,NA,NA,NA,Social categorization; Common enemy; Decategorization; Threat,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,TRUE,FALSE,2019,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,a000008
9,282FPYFL,journalArticle,2019,"Hanniball, Katherine B.; Aknin, Lara B.; Douglas, Kevin S.; Viljoen, Jodi L.",Does helping promote well-being in at-risk youth and ex-offender samples?,Journal of Experimental Social Psychology,NA,0022-1031,10.1016/j.jesp.2018.11.001,http://www.sciencedirect.com/science/article/pii/S0022103118304219,"Numerous theories attempt to explain humans' extraordinary prosociality, but predictions are rarely tested among antisocial individuals, whose dampened concern for others offers a particularly strong test of generalizability for prosocial action. To build upon past research demonstrating the emotional benefits of prosociality among non-offending populations and broaden our understanding of how far this relationship may extend, we examined whether the emotional benefits of prosocial spending are detectable in samples of delinquent youth and recent criminal offenders reporting elevated antisocial tendencies and psychopathic personality features. Findings reveal that, controlling for baseline happiness, ex-offenders (N = 501) report greater positive affect after recalling a time they spent money on others than after recalling a time they spent money on themselves. Similarly, delinquent youth (N = 64) and ex-offenders (N = 777) randomly assigned to purchase an item for a needy child reported greater positive affect than those who purchased an item for themselves. Finally, a large pre-registered replication (N = 1295) suggests the immediate emotional benefits of prosocial spending are detectable among ex-offenders when controlling for baseline happiness. Together, these findings demonstrate the emotional rewards of recalled and immediate acts of giving in a new and theoretically relevant population.",2019-05-01,2020-02-04T03:45:15Z,2020-02-04T03:46:24Z,2020-02-04T03:45:15Z,307-317,NA,NA,82,NA,Journal of Experimental Social Psychology,NA,NA,NA,NA,NA,NA,NA,en,NA,NA,NA,NA,ScienceDirect,NA,NA,NA,C:\Users\Steve\Zotero\storage\RS8S9TDU\Hanniball et al. - 2019 - Does helping promote well-being in at-risk youth a.pdf; C:\Users\Steve\Zotero\storage\FTDPKI28\S0022103118304219.html,NA,OSBadgeOpenData,OSBadgePreregistered,OSBadgeOpenMaterials,NA,NA,NA,NA,NA,NA,NA,Positive affect; Well-being; Helping; Prosocial behavior; Prosocial spending,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,TRUE,FALSE,2019,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,a000009
10,2945RULZ,journalArticle,2018,"Fatfouta, Ramzi; Schröder-Abé, Michela",Agentic to the core? Facets of narcissism and positive implicit self-views in the agentic domain,Journal of Research in Personality,NA,0092-6566,10.1016/j.jrp.2018.02.006,http://www.sciencedirect.com/science/article/pii/S0092656618300187,"Researchers are still divided over whether narcissists possess positive or negative implicit self-views. Seemingly resolving this issue, Campbell et al. (2007) have demonstrated that narcissism is in fact related to higher implicit self-esteem as long as the implicit measure reflects agency. The present study used a large (N = 730) sample, carefully controlled stimuli, improved statistical analyses, and examined narcissism at the facet-level, but results did not replicate those of Campbell et al. In fact, the latent correlation between narcissism and implicit agency was close to zero, whereas the positive correlation between narcissism and explicit agency was replicated. We conclude that narcissists’ implicit self-views may be more neutral than positive or may depend on other contextual factors.",2018-06-01,2019-03-31T13:04:16Z,2019-03-31T13:04:25Z,2019-03-31T13:04:16Z,78-82,NA,NA,74,NA,Journal of Research in Personality,Agentic to the core?,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ScienceDirect,NA,NA,NA,C:\Users\Steve\Zotero\storage\L73HSA6S\Fatfouta en Schröder-Abé - 2018 - Agentic to the core Facets of narcissism and posi.pdf; C:\Users\Steve\Zotero\storage\Z4S5TD76\S0092656618300187.html,NA,OSBadgeOpenData,OSBadgeOpenMaterials,NA,NA,NA,NA,NA,NA,NA,NA,Narcissism; Agency; Communion; IAT; Implicit self-esteem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,FALSE,FALSE,2018,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,a000010
